Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Alex Abrines,SG,23,OKC,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.095,-0.3,-2.2,-2.5,-0.1
2,Quincy Acy,PF,26,TOT,38,558,11.8,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,.082,-1.8,-1.2,-3.0,-0.1
3,Steven Adams,C,23,OKC,80,2389,16.5,.589,.002,.392,13.0,15.5,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.4,.130,-0.7,1.2,0.5,1.5
4,Arron Afflalo,SG,31,SAC,61,1580,9.0,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,.043,-1.4,-2.0,-3.5,-0.6
5,Alexis Ajinca,C,28,NOP,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-5.1,1.0,-4.1,-0.3
6,Cole Aldrich,C,28,MIN,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.0,2.6,0.6,0.4
7,LaMarcus Aldridge,PF,31,SAS,72,2335,18.6,.532,.053,.258,8.6,16.6,12.7,9.9,1.0,3.1,7.7,24.5,3.5,3.7,7.3,.149,-0.3,1.4,1.1,1.8
8,Lavoy Allen,PF,27,IND,61,871,11.6,.485,.006,.196,13.7,14.6,14.2,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,1.3,-0.3,0.4
9,Tony Allen,SG,35,MEM,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-1.8,2.4,0.7,1.3
10,Al-Farouq Aminu,SF,26,POR,61,1773,11.3,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,.051,-2.3,1.2,-1.1,0.4
11,Chris Andersen,C,38,CLE,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,.102,-3.8,3.0,-0.9,0.0
12,Alan Anderson,SF,34,LAC,30,308,5.0,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,.020,-2.6,-2.3,-4.9,-0.2
13,Justin Anderson,SF,23,TOT,75,1228,13.9,.537,.442,.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,.074,-1.2,-0.3,-1.6,0.1
14,Kyle Anderson,SG,23,SAS,72,1020,12.5,.525,.191,.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,.127,-2.1,3.7,1.6,0.9
15,Ryan Anderson,PF,28,HOU,72,2116,13.5,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,.118,1.8,-2.6,-0.8,0.6
16,Giannis Antetokounmpo,SF,22,MIL,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,.210,4.1,3.5,7.6,6.9
17,Carmelo Anthony,SF,32,NYK,74,2538,17.9,.535,.303,.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,.089,1.5,-2.2,-0.7,0.8
18,Joel Anthony,C,34,SAS,19,122,11.6,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,0.1,0.2,0.4,.141,-3.1,2.5,-0.6,0.0
19,Trevor Ariza,SF,31,HOU,80,2773,12.3,.548,.695,.158,2.1,15.9,9.0,8.8,2.5,0.6,8.0,14.1,2.8,3.2,6.0,.104,0.7,1.0,1.7,2.6
20,Darrell Arthur,PF,28,DEN,41,639,12.8,.583,.544,.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,.081,0.3,-0.6,-0.3,0.3
21,Omer Asik,C,30,NOP,31,482,9.8,.517,.000,.600,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1.0,.100,-4.3,1.2,-3.1,-0.1
22,D.J. Augustin,PG,29,ORL,78,1538,11.0,.524,.530,.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,0.7,0.5,1.2,.038,-0.9,-3.3,-4.2,-0.9
23,Luke Babbitt,SF,27,MIA,68,1065,8.4,.563,.747,.053,1.3,13.5,7.4,4.8,1.0,0.8,8.0,13.0,0.8,1.0,1.8,.082,-1.0,-0.8,-1.8,0.1
24,Ron Baker,SG,23,NYK,52,857,7.5,.456,.396,.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-3.5,-0.9,-4.4,-0.5
25,Wade Baldwin,PG,20,MEM,33,405,6.4,.404,.191,.322,3.0,10.2,6.5,22.8,2.3,1.7,23.4,19.2,-0.9,0.5,-0.4,-0.045,-6.3,0.6,-5.8,-0.4
26,Leandro Barbosa,SG,34,PHO,67,963,11.5,.509,.250,.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0,0.3,0.4,0.6,.031,-2.0,-2.1,-4.1,-0.5
27,J.J. Barea,PG,32,DAL,35,771,17.2,.521,.431,.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.8,0.5,1.3,.080,2.0,-2.6,-0.6,0.3
28,Harrison Barnes,PF,24,DAL,79,2803,16.3,.541,.173,.220,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3,2.5,2.1,4.6,.079,-0.7,-1.2,-1.9,0.1
29,Matt Barnes,SF,36,TOT,74,1777,10.3,.514,.556,.188,4.6,19.9,12.4,15.6,1.3,1.3,17.3,15.6,0.3,1.7,2.0,.053,-1.2,0.6,-0.6,0.6
30,Will Barton,SG,26,DEN,60,1705,15.5,.547,.353,.285,3.8,12.8,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,.093,1.3,-1.0,0.3,1.0
31,Brandon Bass,PF,31,LAC,52,577,19.7,.650,.016,.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,.186,0.1,-0.8,-0.7,0.2
